"overall_level","overall_score","reading_score","reading_level","grammar_score","grammar_level","listening_score","listening_level","total_time_spent_on_test"
"Low Intermediate",430,180,"Intermediate",205,"Low Intermediate",45,"High Beginner",15.28
"Intermediate",610,195,"Intermediate",255,"Intermediate",160,"Intermediate",40.22
"High Beginner",100,30,"High Beginner",20,"Beginner",50,"High Beginner",16.1
"Low Intermediate",400,235,"Intermediate",80,"High Beginner",85,"Low Intermediate",34.93
"Low Intermediate",225,120,"Low Intermediate",75,"High Beginner",30,"High Beginner",32.63
"Low Intermediate",355,165,"Intermediate",90,"High Beginner",100,"Low Intermediate",22.22
"Intermediate",630,220,"Intermediate",255,"Intermediate",155,"Intermediate",38.25
"Intermediate",505,275,"Intermediate",185,"Low Intermediate",45,"High Beginner",46.2
"Beginner",30,0,"Beginner",30,"High Beginner",0,"Beginner",4.38
"Beginner",40,20,"High Beginner",10,"Beginner",10,"Beginner",17.52
"Beginner",30,10,"Beginner",10,"Beginner",10,"Beginner",3.75
"Low Intermediate",320,135,"Low Intermediate",110,"Low Intermediate",75,"Low Intermediate",38.12
"Low Intermediate",490,195,"Intermediate",255,"Intermediate",40,"High Beginner",62.98
"Low Intermediate",390,110,"Low Intermediate",220,"Intermediate",60,"Low Intermediate",26.98
"High Beginner",115,10,"Beginner",75,"High Beginner",30,"High Beginner",21.38
"Low Advanced",1490,490,"Low Advanced",625,"Low Advanced",375,"Low Advanced",48.47
"High Intermediate",900,245,"Intermediate",445,"High Intermediate",210,"High Intermediate",43.55
"High Beginner",130,40,"High Beginner",50,"High Beginner",40,"High Beginner",11.68
"High Beginner",70,40,"High Beginner",20,"Beginner",10,"Beginner",6.78
"Beginner",20,0,"Beginner",10,"Beginner",10,"Beginner",14.32
"High Beginner",140,80,"Low Intermediate",50,"High Beginner",10,"Beginner",5.07
"Beginner",20,0,"Beginner",20,"Beginner",0,"Beginner",1.38
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",0.73
"Low Intermediate",245,30,"High Beginner",145,"Low Intermediate",70,"Low Intermediate",51.78
"High Beginner",80,20,"High Beginner",30,"High Beginner",30,"High Beginner",14.08
"High Beginner",200,140,"Low Intermediate",50,"High Beginner",10,"Beginner",15.35
"High Beginner",80,10,"Beginner",60,"High Beginner",10,"Beginner",14.12
"Low Intermediate",460,130,"Low Intermediate",265,"Intermediate",65,"Low Intermediate",22.63
"Beginner",50,30,"High Beginner",10,"Beginner",10,"Beginner",5.77
"High Beginner",90,20,"High Beginner",60,"High Beginner",10,"Beginner",6.55
"High Beginner",60,10,"Beginner",30,"High Beginner",20,"High Beginner",9.17
"High Beginner",110,30,"High Beginner",40,"High Beginner",40,"High Beginner",18.93
"High Beginner",190,50,"High Beginner",75,"High Beginner",65,"Low Intermediate",6.05
"High Beginner",160,0,"Beginner",100,"Low Intermediate",60,"Low Intermediate",1.38
"Beginner",20,10,"Beginner",0,"Beginner",10,"Beginner",12.65
"Low Intermediate",225,90,"Low Intermediate",115,"Low Intermediate",20,"High Beginner",21.73
"Intermediate",550,185,"Intermediate",180,"Low Intermediate",185,"Intermediate",40.55
"Intermediate",855,215,"Intermediate",360,"Intermediate",280,"High Intermediate",32.78
"Intermediate",860,300,"High Intermediate",380,"High Intermediate",180,"Intermediate",43.55
"Intermediate",580,180,"Intermediate",280,"Intermediate",120,"Intermediate",37.85
"Intermediate",510,225,"Intermediate",190,"Low Intermediate",95,"Low Intermediate",49.17
"Low Intermediate",370,145,"Low Intermediate",125,"Low Intermediate",100,"Low Intermediate",51.38
"High Beginner",60,0,"Beginner",40,"High Beginner",20,"High Beginner",3.02
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",3.65
"Low Intermediate",445,215,"Intermediate",145,"Low Intermediate",85,"Low Intermediate",13.45
"High Beginner",155,20,"High Beginner",20,"Beginner",115,"Low Intermediate",31.1
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",0.83
"Low Intermediate",300,135,"Low Intermediate",130,"Low Intermediate",35,"High Beginner",52.1
"Low Intermediate",410,140,"Low Intermediate",200,"Low Intermediate",70,"Low Intermediate",70.45
"High Beginner",60,30,"High Beginner",10,"Beginner",20,"High Beginner",22.28
"Intermediate",680,200,"Intermediate",315,"Intermediate",165,"Intermediate",47.25
"Intermediate",645,250,"Intermediate",170,"Low Intermediate",225,"High Intermediate",51.35
"Intermediate",740,355,"High Intermediate",285,"Intermediate",100,"Low Intermediate",46.7
"Intermediate",680,250,"Intermediate",280,"Intermediate",150,"Intermediate",32.58
"Low Intermediate",415,210,"Intermediate",120,"Low Intermediate",85,"Low Intermediate",62.9
"Low Intermediate",410,115,"Low Intermediate",195,"Low Intermediate",100,"Low Intermediate",61.32
"Low Intermediate",425,50,"High Beginner",190,"Low Intermediate",185,"Intermediate",49.6
"Low Intermediate",325,55,"High Beginner",170,"Low Intermediate",100,"Low Intermediate",22.65
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",18.15
"Intermediate",500,110,"Low Intermediate",235,"Intermediate",155,"Intermediate",20.48
"Intermediate",535,210,"Intermediate",185,"Low Intermediate",140,"Intermediate",55.37
"High Beginner",145,20,"High Beginner",60,"High Beginner",65,"Low Intermediate",11.5
"Low Intermediate",260,90,"Low Intermediate",85,"High Beginner",85,"Low Intermediate",22.87
"Low Intermediate",330,145,"Low Intermediate",100,"Low Intermediate",85,"Low Intermediate",24.68
"High Beginner",90,30,"High Beginner",50,"High Beginner",10,"Beginner",8.25
"Low Intermediate",470,180,"Intermediate",200,"Low Intermediate",90,"Low Intermediate",40.65
"Low Intermediate",415,75,"Low Intermediate",200,"Low Intermediate",140,"Intermediate",59.85
"Low Intermediate",285,100,"Low Intermediate",145,"Low Intermediate",40,"High Beginner",57.3
"Beginner",40,0,"Beginner",20,"Beginner",20,"High Beginner",4.83
"High Beginner",80,40,"High Beginner",30,"High Beginner",10,"Beginner",2.75
"High Beginner",200,160,"Low Intermediate",0,"Beginner",40,"High Beginner",4.6
"High Beginner",60,10,"Beginner",30,"High Beginner",20,"High Beginner",4.45
"Low Intermediate",290,55,"High Beginner",150,"Low Intermediate",85,"Low Intermediate",68.1
